email,firstname,user
Nickie.Chain@yopmail.com,Nickie,Chain
Vere.Master@yopmail.com,Vere,Master
Penelopa.Apple@yopmail.com,Penelopa,Apple
Dennie.Wifey@yopmail.com,Dennie,Wifey
Laure.Drake@yopmail.com,Laure,Drake
Wynne.Squirt@yopmail.com,Wynne,Squirt
Arlena.Bello@yopmail.com,Arlena,Bello
Fanchon.Pixie Stick@yopmail.com,Fanchon,Pixie Stick
Lonnie.String Bean@yopmail.com,Lonnie,String Bean
Molli.Focker@yopmail.com,Molli,Focker
Carmela.Gams@yopmail.com,Carmela,Gams
Lauryn,Coach
Leia.Kit-Kat@yopmail.com,Leia,Kit-Kat
Juliane.Candy@yopmail.com,Juliane,Candy
Darci.Cupcake@yopmail.com,Darci,Cupcake
Eadie.Smoochie@yopmail.com,Eadie,Smoochie
Morganica.Skipper@yopmail.com,Morganica,Skipper
Allyce.Doll@yopmail.com,Allyce,Doll
Margalo.Cindy Lou Who@yopmail.com,Margalo,Cindy Lou Who
Lelah.Homer@yopmail.com,Lelah,Homer
Kathi.Apple@yopmail.com,Kathi,Apple
Gavrielle.Cheesestick@yopmail.com,Gavrielle,Cheesestick
Catrina.DJ@yopmail.com,Catrina,DJ
Dulcinea.Catwoman@yopmail.com,Dulcinea,Catwoman
Cristine.Miss Piggy@yopmail.com,Cristine,Miss Piggy
Cissiee.Boomer@yopmail.com,Cissiee,Boomer
Olivette.Homer@yopmail.com,Olivette,Homer
Flo.Goose@yopmail.com,Flo,Goose
Ardeen.Silly Sally@yopmail.com,Ardeen,Silly Sally
Modestia.Miss Piggy@yopmail.com,Modestia,Miss Piggy
Jolyn.Hot Pepper@yopmail.com,Jolyn,Hot Pepper
Jeanna.Cannoli@yopmail.com,Jeanna,Cannoli
Vere.Amigo@yopmail.com,Vere,Amigo
Alex.Slim@yopmail.com,Alex,Slim
Cyb.Focker@yopmail.com,Cyb,Focker
Leontine.Kit-Kat@yopmail.com,Leontine,Kit-Kat
Annaliese.Mountain@yopmail.com,Annaliese,Mountain
Hannis.Peep@yopmail.com,Hannis,Peep
Marline.Lovey@yopmail.com,Marline,Lovey
Sharlene.Smoochie@yopmail.com,Sharlene,Smoochie
Sissy.Beef@yopmail.com,Sissy,Beef
Emylee.Beef@yopmail.com,Emylee,Beef
Gale.String Bean@yopmail.com,Gale,String Bean
Clementine.Cindy Lou Who@yopmail.com,Clementine,Cindy Lou Who
Sue.Catwoman@yopmail.com,Sue,Catwoman
Aurelie.Thumper@yopmail.com,Aurelie,Thumper
Mariele.Doobie@yopmail.com,Mariele,Doobie
Susette.Gams@yopmail.com,Susette,Gams
Shannah.Doobie@yopmail.com,Shannah,Doobie
Ardeen.Bubbles@yopmail.com,Ardeen,Bubbles
Ileana.Bellbottoms@yopmail.com,Ileana,Bellbottoms
Orsola.Green Giant@yopmail.com,Orsola,Green Giant
Angela.Beef@yopmail.com,Angela,Beef
Elora.Hot Pepper@yopmail.com,Elora,Hot Pepper
Philis.Focker@yopmail.com,Philis,Focker
Blake.Drake@yopmail.com,Blake,Drake
Melanie.Taco@yopmail.com,Melanie,Taco
Carly.Hot Sauce@yopmail.com,Carly,Hot Sauce
Ursulina.Tough Guy@yopmail.com,Ursulina,Tough Guy
Tressa.Sunny@yopmail.com,Tressa,Sunny
Winny.Bebe@yopmail.com,Winny,Bebe
Brana.Gator@yopmail.com,Brana,Gator
Tomasina.Fun Dip@yopmail.com,Tomasina,Fun Dip
Arlena.Peep@yopmail.com,Arlena,Peep
Emmey.Lefty@yopmail.com,Emmey,Lefty
Ivett.Mini Me@yopmail.com,Ivett,Mini Me
Elbertina.Amour@yopmail.com,Elbertina,Amour
Pierette.Beef@yopmail.com,Pierette,Beef
Dianemarie.Cotton@yopmail.com,Dianemarie,Cotton
Andeee.Tough Guy@yopmail.com,Andeee,Tough Guy
Myrtice.Bubbles@yopmail.com,Myrtice,Bubbles
Emelina.Midge@yopmail.com,Emelina,Midge
Meriel.Cheesestick@yopmail.com,Meriel,Cheesestick
Justinn.Silly Sally@yopmail.com,Justinn,Silly Sally
Shauna.Mustache@yopmail.com,Shauna,Mustache
Nataline.Homer@yopmail.com,Nataline,Homer
Gloria.Green Giant@yopmail.com,Gloria,Green Giant
Marcelline.Sunny@yopmail.com,Marcelline,Sunny
Cassondra.Kit-Kat@yopmail.com,Cassondra,Kit-Kat
Marguerite.Dots@yopmail.com,Marguerite,Dots
Sallie.Skipper@yopmail.com,Sallie,Skipper
Jackie.Chump@yopmail.com,Jackie,Chump
Allyce.Drake@yopmail.com,Allyce,Drake
Philis.Mustache@yopmail.com,Philis,Mustache
Queenie.Fun Dip@yopmail.com,Queenie,Fun Dip
Meg.Elf@yopmail.com,Meg,Elf
